Date_Time,CH_1_mV,CH_2_mV
2019-03-07 00:31:37.208049,0.0,0.0
2019-03-07 00:31:37.214873,0.0,0.0
2019-03-07 00:31:37.218509,0.0,0.0
2019-03-07 00:31:37.219787,0.0,0.0
2019-03-07 00:31:37.527343,0.0,0.0
2019-03-07 00:31:37.533482,0.0,0.0
2019-03-07 00:31:37.538728,0.0,0.0
2019-03-07 00:31:37.542595,0.0,0.0
2019-03-07 00:31:37.545578,0.0,0.0
2019-03-07 00:31:37.547027,0.0,0.0
2019-03-07 00:31:37.548313,0.0,0.0
2019-03-07 00:31:37.609946,0.0,0.0
2019-03-07 00:31:37.616355,0.0,0.0
2019-03-07 00:31:37.621944,0.0,0.0
2019-03-07 00:31:37.623276,0.0,0.0
2019-03-07 00:31:37.624564,0.0,0.0
2019-03-07 00:31:37.625850,0.0,0.0
2019-03-07 00:31:37.627131,0.0,0.0
2019-03-07 00:31:37.692517,0.0,0.0
2019-03-07 00:31:37.698210,0.0,0.0
2019-03-07 00:31:37.700392,0.0,0.0
2019-03-07 00:31:37.702399,0.0,0.0
2019-03-07 00:31:37.704403,0.0,0.0
2019-03-07 00:31:37.706379,0.0,0.0
2019-03-07 00:31:37.708372,0.0,0.0
2019-03-07 00:31:37.769914,0.0,0.0
2019-03-07 00:31:37.774274,0.0,0.0
2019-03-07 00:31:37.778418,0.0,0.0
2019-03-07 00:31:37.782073,0.0,0.0
2019-03-07 00:31:37.783366,0.0,0.0
2019-03-07 00:31:37.784806,0.0,0.0
2019-03-07 00:31:37.786151,0.0,0.0
2019-03-07 00:31:37.853423,0.0,0.0
2019-03-07 00:31:37.860028,0.0,0.0
2019-03-07 00:31:37.864819,0.0,0.0
2019-03-07 00:31:37.869721,0.0,0.0
2019-03-07 00:31:37.871260,0.0,0.0
2019-03-07 00:31:37.872571,0.0,0.0
2019-03-07 00:31:37.873873,0.0,0.0
2019-03-07 00:31:37.935649,0.0,0.0
2019-03-07 00:31:37.941683,0.0,0.0
2019-03-07 00:31:37.943707,0.0,0.0
2019-03-07 00:31:37.945392,0.0,0.0
2019-03-07 00:31:38.016109,0.0,0.0
2019-03-07 00:31:38.022220,0.0,0.0
2019-03-07 00:31:38.026372,0.0,0.0
2019-03-07 00:31:38.027815,0.0,0.0
2019-03-07 00:31:38.029167,0.0,0.0
2019-03-07 00:31:38.030489,0.0,0.0
2019-03-07 00:31:38.031835,0.0,0.0
2019-03-07 00:31:38.095050,0.0,0.0
2019-03-07 00:31:38.101486,0.0,0.0
2019-03-07 00:31:38.106380,0.0,0.0
2019-03-07 00:31:38.107744,0.0,0.0
