Subject,Date_Time,CH_1_mV,CH_2_mV,Target
rommel,2019-03-03 19:23:46.723237,-0.13368945920739084,-2.8445010794601138,relax
rommel,2019-03-03 19:23:46.723441,-0.13347309432106347,-2.843900065886982,relax
rommel,2019-03-03 19:23:46.723541,-0.13582906752773932,-2.8446693632605906,relax
rommel,2019-03-03 19:23:46.723633,-0.13106904002853711,-2.8434432955714017,relax
rommel,2019-03-03 19:23:46.795354,-0.1292900398520676,-2.8452944173766475,relax
rommel,2019-03-03 19:23:46.795499,-0.13390582409371826,-2.843611579371879,relax
rommel,2019-03-03 19:23:46.795586,-0.1341943106088214,-2.846616647237537,relax
rommel,2019-03-03 19:23:46.795658,-0.13573290535603827,-2.850703539534832,relax
rommel,2019-03-03 19:23:46.795709,-0.13729554064618038,-2.8438760253440565,relax
rommel,2019-03-03 19:23:46.795779,-0.13520401341168245,-2.8467849310380138,relax
rommel,2019-03-03 19:23:46.795835,-0.1401323247113615,-2.8476744311262485,relax
rommel,2019-03-03 19:23:46.795893,-0.13957939222408045,-2.85060737736313,relax
rommel,2019-03-03 19:23:46.795976,-0.1385456488782941,-2.8463041201795085,relax
rommel,2019-03-03 19:23:46.796032,-0.14457982515253526,-2.8509439449640843,relax
rommel,2019-03-03 19:23:46.796080,-0.13921878408020147,-2.8489485799012875,relax
rommel,2019-03-03 19:23:46.796127,-0.13640604055794564,-2.8509920260499353,relax
rommel,2019-03-03 19:23:46.796183,-0.14022848688306255,-2.851568999080141,relax
rommel,2019-03-03 19:23:46.796261,-0.1416468789156531,-2.852025769395721,relax
rommel,2019-03-03 19:23:46.796342,-0.13777635150468567,-2.8483956474140064,relax
rommel,2019-03-03 19:23:46.796422,-0.13765614879005936,-2.8518334450523186,relax
rommel,2019-03-03 19:23:46.796484,-0.13813695964856462,-2.8517853639664685,relax
rommel,2019-03-03 19:23:46.796562,-0.14162283837272785,-2.8497659583607464,relax
rommel,2019-03-03 19:23:46.796644,-0.14445962243790894,-2.8515449585372163,relax
rommel,2019-03-03 19:23:46.796726,-0.13368945920739084,-2.8497659583607464,relax
rommel,2019-03-03 19:23:46.796791,-0.13328076997766136,-2.8534201208853864,relax
rommel,2019-03-03 19:23:46.796859,-0.13544441884093508,-2.8526267829688527,relax
rommel,2019-03-03 19:23:46.863479,-0.13556462155556145,-2.8535403236000128,relax
rommel,2019-03-03 19:23:46.863591,-0.13852160833536886,-2.8527469856834786,relax
rommel,2019-03-03 19:23:46.863646,-0.1367666487018246,-2.8532999181707597,relax
rommel,2019-03-03 19:23:46.863697,-0.14034868959768887,-2.8501746475904763,relax
rommel,2019-03-03 19:23:46.863746,-0.1382812029061162,-2.8498861610753727,relax
rommel,2019-03-03 19:23:46.863795,-0.1405890950269415,-2.8493572691310174,relax
rommel,2019-03-03 19:23:47.004064,-0.1360454324140667,-2.8485879717574085,relax
rommel,2019-03-03 19:23:47.004266,-0.1376321082471341,-2.8457752282351527,relax
rommel,2019-03-03 19:23:47.004367,-0.1339298646366435,-2.8494053502168675,relax
rommel,2019-03-03 19:23:47.004457,-0.13154985088704238,-2.8493813096739418,relax
rommel,2019-03-03 19:23:47.004546,-0.13441067549514876,-2.849982323247074,relax
rommel,2019-03-03 19:23:47.004634,-0.13599735132821614,-2.8477465527550243,relax
rommel,2019-03-03 19:23:47.004721,-0.13433855386637295,-2.8451261335761706,relax
rommel,2019-03-03 19:23:47.004808,-0.13356925649276455,-2.8474099851540706,relax
rommel,2019-03-03 19:23:47.004894,-0.13123732382901396,-2.8512324314791875,relax
rommel,2019-03-03 19:23:47.004980,-0.1339298646366435,-2.854021134458518,relax
rommel,2019-03-03 19:23:47.005066,-0.13705513521692775,-2.847962917641352,relax
rommel,2019-03-03 19:23:47.005153,-0.13231914826065086,-2.8451982552049464,relax
rommel,2019-03-03 19:23:47.005240,-0.13203066174554767,-2.8463041201795085,relax
rommel,2019-03-03 19:23:47.005326,-0.14049293285524045,-2.849549593474419,relax
rommel,2019-03-03 19:23:47.005412,-0.13731958118910564,-2.851160309850412,relax
rommel,2019-03-03 19:23:47.005499,-0.13130944545778975,-2.8470734175531165,relax
rommel,2019-03-03 19:23:47.005585,-0.13171813468751925,-2.8479388770984264,relax
rommel,2019-03-03 19:23:47.005671,-0.13126136437193922,-2.8485398906715584,relax
rommel,2019-03-03 19:23:47.005878,-0.13527613504045824,-2.8489726204442127,relax
rommel,2019-03-03 19:23:47.005983,-0.13683877033060038,-2.8486600933861843,relax
rommel,2019-03-03 19:23:47.006072,-0.13472320255317718,-2.849789998903672,relax
rommel,2019-03-03 19:23:47.006159,-0.13580502698481406,-2.8482994852423054,relax
rommel,2019-03-03 19:23:47.006246,-0.13981979765333308,-2.8471455391818927,relax
rommel,2019-03-03 19:23:47.006371,-0.13380966192201718,-2.848347566328156,relax
rommel,2019-03-03 19:23:47.006462,-0.13751190553250778,-2.846616647237537,relax
rommel,2019-03-03 19:23:47.006550,-0.13633391892916985,-2.8474099851540706,relax
rommel,2019-03-03 19:23:47.006637,-0.13316056726303505,-2.8509920260499353,relax
rommel,2019-03-03 19:23:47.006723,-0.13534825666923406,-2.8467849310380138,relax
rommel,2019-03-03 19:23:47.006810,-0.13561270264141195,-2.84786675546965,relax
rommel,2019-03-03 19:23:47.006897,-0.13142964817241606,-2.8472176608106685,relax
rommel,2019-03-03 19:23:47.006983,-0.13347309432106347,-2.8488524177295864,relax
rommel,2019-03-03 19:23:47.007070,-0.13090075622806027,-2.84786675546965,relax
